2490;Pusztaszabolcs;7
2500;Esztergom;12
2509;Esztergom;12
2510;Dorog;14
2517;Kesztölc;12
2518;Leányvár;12
2519;Piliscsév;12
2521;Csolnok;15
2522;Dág;12
2523;Sárisáp;12
2524;Nagysáp;12
2525;Bajna;12
2526;Epöl;12
2527;Máriahalom;12
2528;Úny;16
2529;Annavölgy;12
2531;Tokod;12
2532;Tokodaltáró;18
2533;Bajót;12
2534;Tát;12
2535;Mogyorósbánya;4
2536;Nyergesújfalu;12
2537;Nyergesújfalu;12
2541;Lábatlan;12
2543;Süttő;12
2544;Neszmély;12
2545;Dunaalmás;12
2600;Vác;14
2610;Nőtincs;20
2610;Ősagárd;17
2611;Felsőpetény;13
2612;Kosd;4
2613;Rád;14
2614;Penc;14
2615;Csővár;14
2616;Keszeg;13
2617;Alsópetény;13
2618;Nézsa;13
2619;Legénd;13
2621;Verőce;14
2623;Kismaros;14
2624;Szokolya;4
2625;Kóspallag;15
2626;Nagymaros;14
2627;Zebegény;14
2628;Szob;14
2629;Márianosztra;14
2631;Ipolydamásd;14
2632;Letkés;14
2633;Ipolytölgyes;14
2634;Nagybörzsöny;14
2635;Tésa;14
2635;Vámosmikola;14
2637;Perőcsény;14
2638;Kemence;14
2639;Bernecebaráti;14
2640;Szendehely;13
2641;Berkenye;13
2642;Nógrád;13
2643;Diósjenő;13
2644;Borsosberény;20
2645;Nagyoroszi;13
2646;Drégelypalánk;13
2647;Hont;13
2648;Patak;13
2649;Dejtár;13
2651;Rétság;13
2652;Tereske;13
2653;Bánk;13
2654;Romhány;2
2655;Kétbodony;13
2655;Kisecset;13
2655;Szente;13
2656;Szátok;13
2657;Tolmács;17
2658;Horpács;10
2658;Pusztaberki;4
2659;Érsekvadkert;13
2660;Balassagyarmat;13
2668;Patvarc;13
2669;Ipolyvece;13
2671;Őrhalom;20
2672;Hugyag;13
2673;Csitár;13
2675;Iliny;13
2675;Nógrádmarcal;13
2676;Cserhátsurány;13
2677;Herencsény;13
2678;Csesztve;13
2681;Galgagyörk;14
2682;Püspökhatvan;13
2683;Acsa;14
2685;Nógrádsáp;13
2686;Galgaguta;13
2687;Bercel;13
2688;Vanyarc;13
2691;Nógrádkövesd;13
2692;Szécsénke;13
2693;Becske;13
2694;Cserháthaláp;13
